"Province ,Districts ,Jan ,Feb ,Mar ,Apr ,May ,Jun ,Jul ,Aug ,Sept ,Oct ,Nov ,Grand Total "
"3,306 KATHMANDU ,0,0,0,0,1,1,35,727,9891,2911,561,14127"
"3,308 LALITPUR ,0,0,0,0,0,1,99,1558,6016,1809,120,9603"
"3,307 BHAKTAPUR ,0,0,0,0,0,0,6,86,1151,4204,677,6124"
"3,312 MAKWANPUR ,0,0,0,0,0,0,221,337,2452,2220,546,5776"
"3,313 CHITAWAN ,0,0,0,0,0,3,4,24,995,1509,624,3159"
"5,510 DANG ,0,0,0,0,1,1,5,19,1702,575,102,2405"
"3,304 DHADING ,0,0,0,0,0,32,24,54,483,674,378,1645"
"5,508 RUPANDEHI ,1,0,2,1,0,7,109,315,374,370,20,1199"
"3,309 KAVREPALANCHOK ,0,0,0,0,0,0,5,29,177,301,24,536"
"6,610 SURKHET ,0,0,0,3,2,0,0,1,451,13,0,470"
"7,708 KAILALI ,2,0,1,1,0,0,3,13,395,11,4,430"
"1,113 SUNSARI ,0,0,0,0,0,0,2,4,114,252,3,375"
"4,407 TANAHU ,0,0,0,0,0,0,2,1,86,182,78,349"
"7,703 DARCHULA ,0,0,0,0,0,2,0,10,270,44,12,338"
"2,207 BARA ,1,0,0,0,2,0,0,9,87,186,41,326"
"5,504 GULMI ,0,0,0,0,2,3,17,33,244,6,0,305"
"1,102 SANKHUWASABHA ,0,0,0,1,0,11,30,15,64,144,38,303"
"4,401 GORKHA ,0,0,0,0,0,1,2,9,81,170,26,289"
"1,105 KHOTANG ,0,0,0,0,1,0,0,2,75,192,6,276"
"3,305 NUWAKOT ,0,0,0,0,0,0,2,12,113,107,39,273"
"4,410 PARBAT ,0,0,0,0,1,0,3,3,77,150,31,265"
"4,405 KASKI ,0,0,0,1,0,0,3,6,84,130,37,261"
"1,111 JHAPA ,1,0,1,0,1,1,2,5,68,125,35,239"
"7,709 KANCHANPUR ,2,0,0,0,2,4,3,14,121,40,35,221"
"3,302 SINDHUPALCHOK ,0,0,0,0,0,0,0,7,89,104,18,218"
"4,409 SYANGJA ,0,0,0,0,0,0,1,5,80,105,20,211"
"2,208 PARSA ,0,0,0,0,0,3,1,3,68,94,37,206"
"5,512 BARDIYA ,0,0,7,4,6,0,4,6,68,92,18,205"
"3,310 RAMECHHAP ,0,1,1,1,0,0,4,17,93,63,21,201"
"5,506 PALPA ,0,1,1,2,0,3,12,26,82,51,14,192"
"4,411 BAGLUNG ,0,0,0,0,0,0,6,12,70,57,32,177"
